date,id,title,countries,keywords,languages,outlets
2020-09-13,https://euvsdisinfo.eu/report/alexei-navalny-german-doctors-are-silent-they-are-not-allowed-to-talk/,Alexei Navalny case: German doctors are silenced,Russia+Germany,novichok+Alexei Navalny,Russian,
2020-09-13,https://euvsdisinfo.eu/report/after-the-coup-in-kiev-in-2014-the-authorities-crimea-hold-a-referendum-on-reunification-with-russia-despite-the-convincing-results-kiev-still-refuse-to-recognize-crimea-as-part-of-russia/,"After the coup in Kiev in 2014, Crimea reunited with Russia following a referendum",Russia+Ukraine,Coup+Euromaidan+Referendum+Crimea,French,
2020-09-13,https://euvsdisinfo.eu/report/protests-in-belarus-are-driven-by-americans-from-the-center-near-warsaw/,Protests in Belarus are driven by Americans from the center near Warsaw,Russia+Lithuania+Belarus+US+Poland,Union State of Belarus and Russia+The West,Russian,
2020-09-13,https://euvsdisinfo.eu/report/polish-special-services-destabilise-the-situation-in-belarus/,Polish special services destabilise the situation in Belarus,Ukraine+Belarus+Poland,Protest+Visegrad+Intelligence services+Euromaidan+Elections,Russian,
2020-09-12,https://euvsdisinfo.eu/report/navalny-not-poisoned-us-prevent-completion-nord-stream-2/,Germany could be the real target of intoxication of Navalny; money trails point to the US,Russia+US+Germany,Nord Stream 2+Alexei Navalny,Spanish+Castilian,
2020-09-12,https://euvsdisinfo.eu/report/the-same-authoritarian-regime-exists-in-bulgaria-and-belarus/,The same authoritarian regime exists in Bulgaria and Belarus,Bulgaria+Belarus,Democracy+Dictatorship+Alexander Lukashenko,Polish,
2020-09-12,https://euvsdisinfo.eu/report/the-crowds-protesting-in-belarus-are-computer-graphics/,The crowds protesting in Belarus are computer generated imagery,Belarus,Protest,Russian,
2020-09-11,https://euvsdisinfo.eu/report/the-navalny-case-is-only-an-excuse-for-germany-to-abandon-nord-stream-2/,The Navalny case is only an excuse for Germany to abandon Nord Stream 2,EU+Russia+US+Germany,Nord Stream 2+Alexei Navalny+Sovereignty,Arabic,
2020-09-11,https://euvsdisinfo.eu/report/9-11-there-was-no-terrorist-attack-the-us-government-is-behind-this-tragedy/,"9/11 was no terrorist attack, the US government is behind this tragedy",US,Conspiracy theory+9/11+Terrorism+Conspiracy,Russian,
2020-09-11,https://euvsdisinfo.eu/report/merkels-ultimatum-buries-negotiations-on-donbas/,Merkel's ultimatum buries negotiations on Donbas,Russia+Ukraine+Germany,Eastern Ukraine+Alexei Navalny+War in Ukraine+Donbas+Vladimir Putin+Angela Merkel,Russian,
2020-09-11,https://euvsdisinfo.eu/report/the-uns-jim-on-syria-was-disbanded-due-to-unprofessionalism/,The UN’s JIM on Syria was disbanded due to unprofessionalism,Russia+Syria,United Nations+OPCW+Khan Sheikhoun+Chemical weapons/attack+UN+Syrian War+Terrorism,Arabic,
2020-09-11,https://euvsdisinfo.eu/report/russian-sanctions-are-a-dead-end-that-eu-has-driven-itself-in/,Russian sanctions are a dead-end that EU has driven itself in,Russia+Ukraine,illegal annexation+EU+European Union+Sanctions+Crimea+Ukrainian statehood,Arabic+English,
2020-09-11,https://euvsdisinfo.eu/report/the-purpose-of-two-openly-anti-russian-actions-skripal-and-navalny-cases-is-demonisation-of-vladimir-putin/,The purpose of Skripal and Navalny cases is demonisation of Vladimir Putin,EU+Russia+US,Skripal+Alexei Navalny+Anti-Russian+Secret elites / global elites+Vladimir Putin,Armenian,
2020-09-11,https://euvsdisinfo.eu/report/british-propaganda-dilutes-failure-astrazeneca-sputnik-vaccine/,British propaganda tries to dilute the failure of the AstraZeneca vaccine against Sputnik V,UK+Russia,coronavirus+vaccination,Spanish+Castilian,
2020-09-11,https://euvsdisinfo.eu/report/the-west-cannot-cope-with-freedom-of-opinion-and-imposes-censorship/,The West cannot cope with freedom of opinion and imposes censorship,EU+Russia+Ukraine+US,Censorship+Anti-Russian+Freedom of speech+Media+Dmitry Kiselyov+The West,German,
2020-09-11,https://euvsdisinfo.eu/report/george-soros-finances-the-racial-revolution-in-america/,George Soros finances the racial revolution in America,EU+US,US racial justice protests+George Soros,Romanian,
2020-09-11,https://euvsdisinfo.eu/report/usa-admits-that-they-support-strikes-in-belarus/,USA admits that they support strikes in Belarus,Russia+Belarus+US,Diplomacy with Russia+Protest+Anti-Russian+Manipulated elections/referendum+Russophobia+Elections,Russian,
2020-09-11,https://euvsdisinfo.eu/report/the-west-uses-the-case-of-navalny-to-stop-the-nord-stream-2-pipeline-and-to-hurt-putin/,The West uses Navalny case to stop the Nord Stream 2 pipeline and to hurt Putin,EU+Russia+US+Germany,Nord Stream 2+Alexei Navalny+Anti-Russian+Vladimir Putin+The West+Sanctions,German,
2020-09-11,https://euvsdisinfo.eu/report/us-imposed-sanctions-on-russian-institutions-over-covid-19-vaccine-development/,US imposed sanctions on Russian institutions over COVID-19 vaccine development,Russia+US,coronavirus+vaccination+laboratory+Biological weapons+Chemical weapons/attack,Russian,
2020-09-11,https://euvsdisinfo.eu/report/the-attack-on-navalny-is-a-special-operation-against-nord-stream-2/,The attack on Navalny is a special operation against Nord Stream 2,Russia+US+Germany,novichok+Nord Stream 2+Alexei Navalny,Russian,
2020-09-11,https://euvsdisinfo.eu/report/if-the-kremlin-interferes-in-belarus-ukraine-attacks-the-donbas/,"If the Kremlin interferes in Belarus, Ukraine attacks the Donbas",Russia+Ukraine+Belarus,Eastern Ukraine+Colour revolutions+Donbas+The West,Hungarian,
2020-09-11,https://euvsdisinfo.eu/report/no-evidence-of-navalny-poisoning-west-wants-to-stop-nord-stream-2/,"No evidence of Navalny poisoning, West wants to stop Nord Stream 2",EU+Russia+Germany,novichok+Nord Stream 2+Alexei Navalny+Sanctions,Russian,
2020-09-10,https://euvsdisinfo.eu/report/arrest-of-65-russian-planes-for-flights-to-crimea-is-kyivs-revenge-for-the-wagnerites/,"""Arrest"" of 65 Russian planes for flights to Crimea is Kyiv's revenge for the Wagnerites",Russia+Ukraine+Belarus,Anti-Russian+Crimea,Russian,
2020-09-10,https://euvsdisinfo.eu/report/navalnys-recovery-disprove-poisoning-by-novichok/,Navalny's recovery disproves poisoning by Novichok,Russia+Germany,novichok+Alexei Navalny+Intelligence services+The West,Russian,
2020-09-10,https://euvsdisinfo.eu/report/all-events-in-belarus-are-organised-by-poland-lithuania-with-the-support-of-uk-and-various-american-foundations/,"Events in Belarus are organised by Poland, Lithuania, UK and various American foundations",UK+Lithuania+Belarus+US+Poland,Democratic Party (US)+Protest+Colour revolutions+George Soros,Russian,
2020-09-10,https://euvsdisinfo.eu/report/black-lives-matter-is-a-corporation-financed-by-george-soros/,Black Lives Matter is a corporation financed by George Soros,US,US racial justice protests+Conspiracy theory+George Soros,English,
2020-09-10,https://euvsdisinfo.eu/report/death-is-the-only-result-of-novichok-poisoning/,"If the victim does not die, it cannot be novichok",Russia+Germany,novichok+Chemical weapons/attack+Alexei Navalny,Arabic,
2020-09-10,https://euvsdisinfo.eu/report/george-soros-the-multi-color-man/,George Soros: the multi-colour man,Kirgizstan+Hungary+Yugoslavia+Ukraine+Georgia,Slobodan Milošević+Yugoslavia+Protest+NGO+Corruption+Media+Colour revolutions+Euromaidan+George Soros,Arabic,
2020-09-10,https://euvsdisinfo.eu/report/russian-relations-with-the-west-went-bad-after-the-return-of-crimea/,Russian relations with the West went bad after the return of Crimea,Russia+Ukraine+US,illegal annexation+West+European Union+Manipulated elections/referendum+Euromaidan+Elections+The West+Sanctions+Crimea,Arabic,
2020-09-10,https://euvsdisinfo.eu/report/nato-tries-to-impose-its-will-on-independent-states-through-murder-or-war/,NATO tries to impose its will on independent states through murder or war,Russia+Georgia,Caucasus+EU/NATO enlargement+Encircling Russia+Military exercise+NATO,Armenian,
2020-09-10,https://euvsdisinfo.eu/report/europeans-are-indifferent-to-repression-of-peaceful-protesters-whereas-in-belarus-the-most-popular-father-of-the-people-suddenly-lost-the-confidence-of-the-citizens/,Europeans are indifferent to repression of peaceful protesters,Belarus+France,yellow vests+Emmanuel Macron+Protest+Alexander Lukashenko,French,
2020-09-10,https://euvsdisinfo.eu/report/a-former-us-minister-condemned-euromaidan/,A former US minister condemned Euromaidan,Ukraine+US,Colour revolutions+Euromaidan,Russian,
2020-09-09,https://euvsdisinfo.eu/report/the-navalny-affair-is-undoubtedly-a-false-flag-provocation-to-foment-hostiliy-against-moscow/,The Navalny Affair is undoubtedly a false-flag provocation to foment hostiliy against Moscow,UK+Russia+Germany,Skripal+novichok+false flag+Alexei Navalny+Sanctions+MI6,English,
2020-09-09,https://euvsdisinfo.eu/report/trying-to-catch-up-with-russia-the-west-has-lost-another-round-in-the-fight-against-the-pandemic/,"Trying to catch up with Russia, the West lost another round in fight against pandemic",EU+Russia+US,coronavirus+vaccination+West,Russian,
2020-09-09,https://euvsdisinfo.eu/report/belarus-protests-are-managed-by-an-external-factor/,Belarus protests are managed by an external factor,Czech Republic+Ukraine+Lithuania+Belarus+US+Poland,Protest+Alexander Lukashenko+Colour revolutions,Arabic,
2020-09-09,https://euvsdisinfo.eu/report/events-in-belarus-and-unfounded-claims-of-navalnys-poisoning-aim-at-destabilizing-russia/,Events in Belarus and unfounded claims of Navalny's poisoning aim at destabilizing Russia,Russia+Belarus,novichok+Alexei Navalny+Encircling Russia+Destabilising Russia+Russophobia,Arabic,
2020-09-09,https://euvsdisinfo.eu/report/intercepted-germany-poland-call-proves-navalny-case-is-fabricated/,Intercepted Germany-Poland call proves Navalny case is fabricated,Russia+Belarus+Germany+Poland,novichok+Chemical weapons/attack+Alexei Navalny+Alexander Lukashenko,Arabic,
2020-09-09,https://euvsdisinfo.eu/report/navalny-poisoning-a-massive-disinformation-campaign-against-russia-aimed-at-mobilizing-sanctions-sentiments/,Navalny poisoning: A massive disinformation campaign against Russia,Russia,Skripal+novichok+Alexei Navalny+Anti-Russian+Sanctions,Russian,
2020-09-09,https://euvsdisinfo.eu/report/ukraine-must-continue-war-in-donbas-otherwise-it-wont-receive-financial-support-from-the-west/,"Ukraine must continue war in Donbas, otherwise it won't receive financial support from the West",EU+Ukraine+US,Eastern Ukraine+War in Ukraine+Donbas+The West,Russian,
